time	stim1	stim2	cc	sd	gene
3hr	CpG	P3CSK	0.00204377832280529	0.00136584068907145	Nfkbid
3hr	CpG	P3CSK	0.0539231450259116	0.00613886510076754	Nfkbie
3hr	CpG	P3CSK	0.0228985669115914	0.00317796040616504	Nfkbiz
3hr	CpG	P3CSK	0.00110356586517752	0.00110450853762536	Noct
3hr	CpG	P3CSK	0.00711032327546336	0.00379967578601734	Nos2
3hr	CpG	P3CSK	0.00106789595732728	0.000528670689851099	Notch1
3hr	CpG	P3CSK	0.000173828031054676	0.000194898827822259	Nqo1
3hr	CpG	P3CSK	5.16474411938062e-06	0.00012592484593247	Nr4a1
3hr	CpG	P3CSK	0.00369923971967651	0.00389089881346642	Nr4a3
3hr	CpG	P3CSK	0.000399257268091888	0.00181623796790772	Oaf
3hr	CpG	P3CSK	0.000295758607221709	0.000979047662290467	Oasl1
3hr	CpG	P3CSK	0.000630277173559406	0.000346140002850918	Odc1
3hr	CpG	P3CSK	2.07628374974812e-05	0.00038848429557634	Olfml3
3hr	CpG	P3CSK	4.34244650844266e-06	0.000388203776316347	Olr1
3hr	CpG	P3CSK	0.00398233310094135	0.00229169803433823	Orai2
3hr	CpG	P3CSK	0.00112057283009211	0.00102817813116832	Osm
3hr	CpG	P3CSK	1.87669560221417e-05	0.00059878047974586	Otud1
3hr	CpG	P3CSK	0.000863212999508355	0.000948054008701067	P2ry13
3hr	CpG	P3CSK	1.48876628610996e-07	0.00020571450525585	P2ry2
3hr	CpG	P3CSK	0.00210310205102103	0.00119148739009943	P4ha2
3hr	CpG	P3CSK	1.21412885523902e-06	0.000375152922116578	Pcx
3hr	CpG	P3CSK	0.000168872740298282	0.00066370198581536	Pde3b
3hr	CpG	P3CSK	5.87125241124001e-05	0.00035969208822521	Pde4b
3hr	CpG	P3CSK	0.00044518807548572	0.00112680902520762	Pde5a
3hr	CpG	P3CSK	1.30365652254367e-05	0.000382672601961695	Pde7b
3hr	CpG	P3CSK	0.00614329206439159	0.00266761086737829	Pdgfb
3hr	CpG	P3CSK	0.0104501603346341	0.0032134408172441	Pdlim7
3hr	CpG	P3CSK	0.00338438665155671	0.00125997290287403	Pdpn
3hr	CpG	P3CSK	0.000145470819807421	0.000630386613010626	Peli1
3hr	CpG	P3CSK	0.00252402025162976	0.000768031881545661	Pfkfb3
3hr	CpG	P3CSK	0.000861836533560932	0.000374785609879699	Phlda1
3hr	CpG	P3CSK	0.0051650953659353	0.00104587525116477	Phldb1
3hr	CpG	P3CSK	0.00304822027658774	0.00198423295675824	Pilra
3hr	CpG	P3CSK	0.00100063444113358	0.000807548705856913	Pilrb1
3hr	CpG	P3CSK	0.00205412735143372	0.0010441229937042	Pim2
3hr	CpG	P3CSK	0.000222959643974486	0.000975854256583964	Pim3
3hr	CpG	P3CSK	2.37953343365804e-05	0.000331223747464323	Pla2g7
3hr	CpG	P3CSK	4.97499885672277e-05	0.000242460028586588	Plagl1
3hr	CpG	P3CSK	3.34836819911122e-05	0.000551502494367685	Plat
3hr	CpG	P3CSK	0.0115831433474844	0.00272772072642109	Plau
3hr	CpG	P3CSK	0.000215159811652614	0.000333148972231114	Plekhg1
3hr	CpG	P3CSK	0.00188927294183718	0.0012350217142928	Plk2
3hr	CpG	P3CSK	1.14508640590581e-06	0.000262717936174883	Plk3
3hr	CpG	P3CSK	0.000166520010656766	0.000738263975385931	Plpp1
3hr	CpG	P3CSK	7.42743169746451e-08	0.00032877146048992	Plpp3
3hr	CpG	P3CSK	0.000394981640618406	0.00075860344572154	Pmaip1
3hr	CpG	P3CSK	0.00116893939747641	0.00129002407328734	Pmepa1
3hr	CpG	P3CSK	0.00186623007607655	0.001674646603174	Pou2f2
3hr	CpG	P3CSK	0.00493625251587443	0.000960674169609138	Ppfia3
3hr	CpG	P3CSK	0.000183685097741788	0.000574677028867635	Ppm1l
3hr	CpG	P3CSK	0.000968468835430247	0.00039039852543049	Ppp1r12b
3hr	CpG	P3CSK	9.73035650764532e-05	0.000333597708386173	Ppp1r15a
3hr	CpG	P3CSK	0.00977499882476355	0.00211200594427205	Prag1
3hr	CpG	P3CSK	0.000679439054725312	0.000643281549913724	Prdm1
3hr	CpG	P3CSK	0.000202698049882707	0.000483384638534421	Prdm9
3hr	CpG	P3CSK	4.25450579404499e-05	0.000510152263086863	Procr
